"ward_no","gender","age","ethnicity","mother_tongue","religion","education","economically_active","marital_status","disability_type","health_status","disease_name"
"ward_3","male","7","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","5","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","55","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","50","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","23","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातक तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","22","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","43","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","42","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","20","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","आधारभूत तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","18","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","50","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","साधारण लेखपढ (साक्षर)","No","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","29","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","24","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","21","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","माध्यमिक तह","No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","female","1","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू",,"No","अबिबाहित","अपाङ्गता नभएको","स्वस्थ",
"ward_3","male","56","पहाडी बाह्मण / क्षेत्री / ठकुरी / सन्यासी","नेपाली","हिन्दू","स्नातकोतर तह","yes","एकल विवाह","अपाङ्गता नभएको","स्वस्थ",
